model,snr_db,noise_std_mean,q_hat,q_scale,picp,mpiw,pinaw,cwc,winkler
NFS-SVQR,30.0,0.0315738841891288,0.049037516441214,0.6400000000000001,0.9253012048192772,69.26409541171292,0.7205176976442407,0.947618677597778,76.7343518626182
NFS-SVQR,40.0,0.0099845379590988,0.049037516441214,0.6400000000000001,0.9325301204819276,69.27132416932122,0.7205928945808037,0.9444574694514876,76.34551888155433
NFS-SVQR,60.0,0.0009984539356082,0.049037516441214,0.6400000000000001,0.9301204819277108,69.25413196711834,0.7204140532074338,0.9453042688019192,76.48701000117892
NuSVR-CI,30.0,0.0315738841891288,19969505.38360108,0.6400000000000001,0.908433734939759,25.56096689100937,0.2658971997598096,0.3525812145359769,47.416373924649946
NuSVR-CI,40.0,0.0099845379590988,19969505.38360108,0.6400000000000001,0.9132530120481928,25.56096689100937,0.2658971997598096,0.3517497196015904,47.22416364991606
NuSVR-CI,60.0,0.0009984539356082,19969505.38360108,0.6400000000000001,0.9132530120481928,25.56096689100937,0.2658971997598096,0.3517497196015904,47.3350374722832
RLMKL,30.0,0.031573884189128876,5.343353748486155,0.6400000000000001,0.9493975903614458,30.161277730540096,0.3137517967893985,0.4079908084333838,39.06266421972665
RLMKL,40.0,0.009984537959098816,5.343353748486155,0.6400000000000001,0.9493975903614458,30.10125930895653,0.3131274569394577,0.40717894082745737,39.23471917870623
RLMKL,60.0,0.0009984539356082678,5.343353748486155,0.6400000000000001,0.9493975903614458,30.09460251855697,0.3130582098748151,0.40708889459927866,39.200316325738655
Standard-SVQR,30.0,0.0315738841891288,14.416343879311484,0.6400000000000001,0.944578313253012,29.70385708772321,0.3089934921229141,0.4027021687237829,41.54071498252881
Standard-SVQR,40.0,0.0099845379590988,14.416343879311484,0.6400000000000001,0.9421686746987952,29.725424355715127,0.3092178449883582,0.4034475879784704,41.4292231466803
Standard-SVQR,60.0,0.0009984539356082,14.416343879311484,0.6400000000000001,0.944578313253012,29.72814830830596,0.3092461808243722,0.4030314905078439,41.41993132784356
TL-QLDMR,30.0,0.0315738841891288,9.066659667000325,0.7744000000000003,0.9542168674698795,27.61109256437757,0.2872235712554057,0.2872235712554057,37.45792731721494
TL-QLDMR,40.0,0.0099845379590988,9.066659667000325,0.7744000000000003,0.9518072289156626,27.61132968686176,0.2872260379150127,0.2872260379150127,37.22522623217015
TL-QLDMR,60.0,0.0009984539356082,9.066659667000325,0.7744000000000003,0.9518072289156626,27.603250273269733,0.2871419920548157,0.2871419920548157,37.22845489399371
TSVQR,30.0,0.0315738841891288,14.416343879311484,0.6400000000000001,0.944578313253012,29.70385708772321,0.3089934921229141,0.4027021687237829,41.54071498252881
TSVQR,40.0,0.0099845379590988,14.416343879311484,0.6400000000000001,0.9421686746987952,29.725424355715127,0.3092178449883582,0.4034475879784704,41.4292231466803
TSVQR,60.0,0.0009984539356082,14.416343879311484,0.6400000000000001,0.944578313253012,29.72814830830596,0.3092461808243722,0.4030314905078439,41.41993132784356
UQSVM-SSVQR,30.0,0.0315738841891288,0.0207943927173548,0.6400000000000001,0.9397590361445785,82.229137704428,0.8553861654568959,1.117312198130234,85.18035424085248
UQSVM-SSVQR,40.0,0.0099845379590988,0.0207943927173548,0.6400000000000001,0.944578313253012,82.24165407005239,0.8555163665789773,1.1149694248673676,85.0065815609589
UQSVM-SSVQR,60.0,0.0009984539356082,0.0207943927173548,0.6400000000000001,0.9421686746987952,82.23380801054107,0.855434748177682,1.1161163284035225,84.97770549519059
